Events,Gold,Silver,Bronze,Total
 Archery,0,2,0,2
 Athletics,8,9,3,20
 Badminton,0,1,1,2
 Boxing,1,0,1,2
 Board games,1,0,2,3
 Equestrian,0,2,0,2
 Field hockey,0,1,1,2
 Kabaddi,0,1,1,2
 Kurash,0,1,1,2
 Tennis,1,0,2,3
 Rowing,1,0,2,3
 Sailing,0,1,2,3
 Sepaktakraw,0,0,1,1
 Shooting,2,4,3,9
 Squash,0,1,4,5
 Table tennis,0,0,2,2
 Wrestling,2,0,1,3
 Wushu,0,0,4,4
